"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 08 13:39:18 EET 2022","Thu Dec 08 13:39:22 EET 2022","4069","","get the Ebook","","get the Ebook","20 Should see error message when requre field is empty","20 Should see error message when requre field is empty",""
"passed","Thu Dec 08 13:38:22 EET 2022","Thu Dec 08 13:38:23 EET 2022","1234","","MainMenu","","MainMenu","9dropdown menu is visible when move to items main menu","9dropdown menu is visible when move to items main menu",""
"broken","Thu Dec 08 13:13:16 EET 2022","Thu Dec 08 13:13:34 EET 2022","17743","","Log in ","","Log in ","4Should be logout from account and check that email field is filled","4Should be logout from account and check that email field is filled",""
"unknown","Tue Dec 13 01:50:51 EET 2022","Thu Jan 01 03:00:00 EET 1970","-1670889051157","","MainMenu","","MainMenu","8All items of main menu have hover effect","8All items of main menu have hover effect",""
"passed","Thu Dec 08 13:38:45 EET 2022","Thu Dec 08 13:38:51 EET 2022","5902","","Blog ","","Blog ","13Should search","13Should search",""
"passed","Thu Dec 08 13:38:23 EET 2022","Thu Dec 08 13:38:26 EET 2022","3227","","MainMenu","","MainMenu","10use requests to navigation bar links for Company item in Menu","10use requests to navigation bar links for Company item in Menu",""
"passed","Thu Dec 08 13:15:51 EET 2022","Thu Dec 08 13:16:05 EET 2022","14411","","Blog ","","Blog ","15Chosen filter should be focused","15Chosen filter should be focused",""
"passed","Thu Dec 08 13:14:57 EET 2022","Thu Dec 08 13:14:59 EET 2022","1759","","MainMenu","","MainMenu","8All items of main menu have hover effect","8All items of main menu have hover effect",""
"passed","Thu Dec 08 13:16:08 EET 2022","Thu Dec 08 13:16:13 EET 2022","4766","","Blog ","","Blog ","17 all articles are with link","17 all articles are with link",""
"passed","Thu Dec 08 13:16:35 EET 2022","Thu Dec 08 13:16:42 EET 2022","7321","","get the Ebook","","get the Ebook","20 Should see error message when requre field is empty","20 Should see error message when requre field is empty",""
"passed","Thu Dec 08 13:38:56 EET 2022","Thu Dec 08 13:38:58 EET 2022","2115","","Blog ","","Blog ","15Chosen filter should be focused","15Chosen filter should be focused",""
"passed","Thu Dec 08 13:16:13 EET 2022","Thu Dec 08 13:16:19 EET 2022","6031","","Blog ","","Blog ","18 get the book","18 get the book",""
"passed","Thu Dec 08 13:16:19 EET 2022","Thu Dec 08 13:16:35 EET 2022","15567","","get the Ebook","","get the Ebook","19 Should see thank you page after fill all fields and submit to get the Ebook","19 Should see thank you page after fill all fields and submit to get the Ebook",""
